"City","Date","schoolhols","school.hols"
"553","Adelaide",2004-03-10,"0","0"
"554","Brisbane",2004-03-10,"0","0"
"555","Canberra",2004-03-10,"0","0"
"556","Darwin",2004-03-10,"0","0"
"557","Hobart",2004-03-10,"0","0"
"558","Melbourne",2004-03-10,"0","0"
"559","Perth",2004-03-10,"0","0"
"560","Sydney",2004-03-10,"0","0"
"561","Adelaide",2004-03-11,"0","0"
"562","Brisbane",2004-03-11,"0","0"
"563","Canberra",2004-03-11,"0","0"
"564","Darwin",2004-03-11,"0","0"
"565","Hobart",2004-03-11,"0","0"
"566","Melbourne",2004-03-11,"0","0"
"567","Perth",2004-03-11,"0","0"
"568","Sydney",2004-03-11,"0","0"
"569","Adelaide",2004-03-12,"0","0"
"570","Brisbane",2004-03-12,"0","0"
"571","Canberra",2004-03-12,"0","0"
"572","Darwin",2004-03-12,"0","0"
"573","Hobart",2004-03-12,"0","0"
"574","Melbourne",2004-03-12,"0","0"
"575","Perth",2004-03-12,"0","0"
"576","Sydney",2004-03-12,"0","0"
"577","Adelaide",2004-03-13,"0","0"
"578","Brisbane",2004-03-13,"0","0"
"579","Canberra",2004-03-13,"0","0"
"580","Darwin",2004-03-13,"0","0"
"581","Hobart",2004-03-13,"0","0"
"582","Melbourne",2004-03-13,"0","0"
"583","Perth",2004-03-13,"0","0"
"584","Sydney",2004-03-13,"0","0"
"585","Adelaide",2004-03-14,"0","0"
"586","Brisbane",2004-03-14,"0","0"
"587","Canberra",2004-03-14,"0","0"
"588","Darwin",2004-03-14,"0","0"
"589","Hobart",2004-03-14,"0","0"
"590","Melbourne",2004-03-14,"0","0"
"591","Perth",2004-03-14,"0","0"
"592","Sydney",2004-03-14,"0","0"
"593","Adelaide",2004-03-15,"0","0"
"594","Brisbane",2004-03-15,"0","0"
"595","Canberra",2004-03-15,"0","0"
"596","Darwin",2004-03-15,"0","0"
"597","Hobart",2004-03-15,"0","0"
"598","Melbourne",2004-03-15,"0","0"
"599","Perth",2004-03-15,"0","0"
"600","Sydney",2004-03-15,"0","0"
"601","Adelaide",2004-03-16,"0","0"
"602","Brisbane",2004-03-16,"0","0"
"603","Canberra",2004-03-16,"0","0"
"604","Darwin",2004-03-16,"0","0"
"605","Hobart",2004-03-16,"0","0"
"606","Melbourne",2004-03-16,"0","0"
"607","Perth",2004-03-16,"0","0"
"608","Sydney",2004-03-16,"0","0"
"609","Adelaide",2004-03-17,"0","0"
"610","Brisbane",2004-03-17,"0","0"
"611","Canberra",2004-03-17,"0","0"
"612","Darwin",2004-03-17,"0","0"
"613","Hobart",2004-03-17,"0","0"
"614","Melbourne",2004-03-17,"0","0"
"615","Perth",2004-03-17,"0","0"
"616","Sydney",2004-03-17,"0","0"
"617","Adelaide",2004-03-18,"0","0"
"618","Brisbane",2004-03-18,"0","0"
"619","Canberra",2004-03-18,"0","0"
"620","Darwin",2004-03-18,"0","0"
"621","Hobart",2004-03-18,"0","0"
"622","Melbourne",2004-03-18,"0","0"
"623","Perth",2004-03-18,"0","0"
"624","Sydney",2004-03-18,"0","0"
"625","Adelaide",2004-03-19,"0","0"
"626","Brisbane",2004-03-19,"0","0"
"627","Canberra",2004-03-19,"0","0"
"628","Darwin",2004-03-19,"0","0"
"629","Hobart",2004-03-19,"0","0"
"630","Melbourne",2004-03-19,"0","0"
"631","Perth",2004-03-19,"0","0"
"632","Sydney",2004-03-19,"0","0"
"633","Adelaide",2004-03-20,"0","0"
"634","Brisbane",2004-03-20,"0","0"
"635","Canberra",2004-03-20,"0","0"
"636","Darwin",2004-03-20,"0","0"
"637","Hobart",2004-03-20,"0","0"
"638","Melbourne",2004-03-20,"0","0"
"639","Perth",2004-03-20,"0","0"
"640","Sydney",2004-03-20,"0","0"
"641","Adelaide",2004-03-21,"0","0"
"642","Brisbane",2004-03-21,"0","0"
"643","Canberra",2004-03-21,"0","0"
"644","Darwin",2004-03-21,"0","0"
"645","Hobart",2004-03-21,"0","0"
"646","Melbourne",2004-03-21,"0","0"
"647","Perth",2004-03-21,"0","0"
"648","Sydney",2004-03-21,"0","0"
"649","Adelaide",2004-03-22,"0","0"
"650","Brisbane",2004-03-22,"0","0"
"651","Canberra",2004-03-22,"0","0"
"652","Darwin",2004-03-22,"0","0"
"653","Hobart",2004-03-22,"0","0"
"654","Melbourne",2004-03-22,"0","0"
"655","Perth",2004-03-22,"0","0"
